group,requested_length,metric,generated_count,real_calibration_count,generated_mean,generated_std,generated_q05,generated_q50,generated_q95,generated_ci_low,generated_ci_high,real_mean,real_std,real_q05,real_q50,real_q95,real_ci_low,real_ci_high,generated_minus_real,generated_over_real,approximate,warning
all_generated_samples,64,descriptor_distance,100,64,0.6009606851490056,0.40860251715102675,0.20685418961792035,0.5089545484361442,1.1492683775918868,0.5243652805156468,0.6890743416462505,0.4895360187998882,0.5608580770666597,0.06379435320984829,0.3118348870537415,1.9558738356375687,0.34880587181712935,0.6329445038175489,0.11142466634911741,1.22761280492144,True,
all_generated_samples,64,refined_distance_map_rmse,100,64,0.29600161138382214,0.11992935091562497,0.14353404448809698,0.2902426983586055,0.47599741656464695,0.2739530014509449,0.3198232563389375,0.3355908875639354,0.1657043896472709,0.021500711453443726,0.36488369174452107,0.5834479469653527,0.296626024543202,0.37878854729216954,-0.039589276180113264,0.8820311347918501,True,
all_generated_samples,64,refined_contact_jaccard_distance,100,64,0.625480846010156,0.19734493656719715,0.3305907172995781,0.610457963089542,0.8929266100580842,0.5845815361561851,0.6653840241440636,0.6642963049459021,0.28997141343762667,0.026050000000000025,0.7737753931847968,0.9441980593607305,0.5916261973322178,0.7351786282652082,-0.03881545893574612,0.9415690578936652,True,
all_generated_samples,128,descriptor_distance,100,64,0.5488020122194339,0.5755853342377315,0.18827566758746575,0.4220918063002197,1.477839174932051,0.4587258338035738,0.6572428109098347,1.0745366810902786,4.0171693460918005,0.06269366850804411,0.232507181649366,1.2098529435011602,0.29412779939010586,1.9124696269985402,-0.5257346688708446,0.5107336230370395,True,
all_generated_samples,128,refined_distance_map_rmse,100,64,0.3833421265393719,0.0990090600910004,0.14678145601319334,0.4073084993778534,0.49904742967392823,0.3647972249279613,0.4004423892170289,0.4295997636998552,0.11287378830177726,0.22830064810064016,0.441504706819092,0.5880680778784516,0.4029551644681288,0.4561937051882352,-0.04625763716048331,0.8923238766192578,True,
all_generated_samples,128,refined_contact_jaccard_distance,100,64,0.7554743379302092,0.12582142315006187,0.53510163157415,0.7793827102544517,0.9441656779956731,0.7279148747736416,0.7812054668008861,0.8495188331005524,0.11091202130089296,0.6467885375494071,0.8839387124763165,0.9583607382248818,0.8208154476846556,0.8762866623998591,-0.09404449517034319,0.8892967506946232,True,
all_generated_samples,256,descriptor_distance,100,64,0.8846344869420599,1.4782349947046407,0.2959209153513347,0.5401163702761107,1.8600829679692608,0.6667877066774597,1.214269120132947,0.7820065707904301,1.4569603960939443,0.12221673515995027,0.3349474645148161,2.958572699028848,0.46896434445267116,1.2115699361741705,0.1026279161516298,1.1312366417175963,True,
all_generated_samples,256,refined_distance_map_rmse,100,64,0.4374326823532037,0.03653648227852882,0.37394570223024864,0.43647409986948305,0.49656291395446717,0.42918379892572295,0.44506170235627185,0.4407165882401577,0.07670660518677347,0.22719934987501167,0.45925992210863686,0.5125501132555558,0.4189047375054098,0.4562395462481527,-0.003283905886953986,0.9925487127678423,True,
all_generated_samples,256,refined_contact_jaccard_distance,100,64,0.846042106736477,0.06967762325113795,0.718138091276125,0.8591891748170509,0.9359902161273508,0.8347887039499312,0.859313913047079,0.849482055167077,0.09135918756062518,0.66826847796401,0.8783345874871284,0.9383886340611041,0.827641289601248,0.8729599639280989,-0.003439948430600026,0.9959505343171452,True,
all_generated_samples,384,descriptor_distance,50,64,1.918626010560136,1.2288922509895066,0.6355407725051905,1.4627354163530208,4.292637414569686,1.6044979594824973,2.241693539807358,2.15236558847746,4.509913992482751,0.23975894371785766,1.1047067019368715,4.637162298187611,1.2869254454570254,3.341706418573762,-0.23373957791732414,0.8914034032282282,True,
all_generated_samples,384,refined_distance_map_rmse,50,64,0.42091883692956933,0.037767258919109724,0.36319116103594956,0.4239510763792087,0.4726443373858219,0.41145401518129665,0.4315221710783049,0.4795651358672065,0.07503771296977904,0.40073729092163674,0.4690642980643311,0.5410135110102156,0.46362254128190933,0.49780432876826447,-0.058646298937637176,0.8777094193230165,True,
all_generated_samples,384,refined_contact_jaccard_distance,50,64,0.8706433763412182,0.059308839497387356,0.7637428032695902,0.8671193590907396,0.9490853541738498,0.8530036758889328,0.8886399100364487,0.8943785651561541,0.04005544587940734,0.8430446495800045,0.8979910107703939,0.9640116716611152,0.8846109322731641,0.9035613876025572,-0.02373518881493586,0.9734618094175906,True,
all_generated_samples,500,descriptor_distance,25,64,3.3104909086445935,2.0428595761439627,0.7251147421671879,3.097522012810049,6.818783098382405,2.548507873034506,4.123376006497625,2.02688145765883,1.898501659091488,0.27075301392255835,1.4631665424372484,5.428822124798233,1.5717358770760648,2.526897758389063,1.2836094509857636,1.6332928085830978,True,
all_generated_samples,500,refined_distance_map_rmse,25,64,0.4276588879434807,0.03543945636362575,0.3776705965057203,0.4243175097741658,0.4807973541795791,0.4143203551867729,0.4425038976093204,0.4764481364244033,0.047564127585025234,0.39390403603565033,0.4815385485515525,0.5230637805083523,0.46272616614102396,0.48696812075691837,-0.04878924848092259,0.8975979865362244,True,
all_generated_samples,500,refined_contact_jaccard_distance,25,64,0.8398210673273903,0.03999144753067437,0.7889112544331703,0.8352380952380952,0.9124636145896692,0.8256426302177237,0.8540259780707046,0.9035750433420793,0.0295277062907868,0.8418096876540315,0.9091684016266606,0.9507981640133499,0.896088048661151,0.9106606464724236,-0.06375397601468902,0.9294425222515218,True,
heuristic_edm_quality_pass,64,descriptor_distance,43,64,0.7331158101145316,0.5441115311646817,0.19453799816224995,0.6086911136537216,1.7726711811778273,0.5947317003080534,0.889671181338969,0.4895360187998882,0.5608580770666597,0.06379435320984829,0.3118348870537415,1.9558738356375687,0.34880587181712935,0.6329445038175489,0.24357979131464347,1.497572766783916,True,
heuristic_edm_quality_pass,64,refined_distance_map_rmse,43,64,0.2723394911792112,0.12512611508402183,0.14459179205561382,0.22457497422416745,0.4819348825419011,0.23389971988416208,0.31455662029439224,0.3355908875639354,0.1657043896472709,0.021500711453443726,0.36488369174452107,0.5834479469653527,0.296626024543202,0.37878854729216954,-0.06325139638472421,0.8115223066875622,True,
heuristic_edm_quality_pass,64,refined_contact_jaccard_distance,43,64,0.544272568494709,0.19154994911237003,0.2445185707870935,0.5022222222222222,0.85341531533482,0.48322002185474167,0.594308207976341,0.6642963049459021,0.28997141343762667,0.026050000000000025,0.7737753931847968,0.9441980593607305,0.5916261973322178,0.7351786282652082,-0.12002373645119313,0.8193219869543494,True,
heuristic_edm_quality_pass,128,descriptor_distance,4,64,1.9019180575360328,1.5520889222403884,0.45334986875090477,1.416203658531029,4.030486404928165,0.6182936077185099,3.7388212127346394,1.0745366810902786,4.0171693460918005,0.06269366850804411,0.232507181649366,1.2098529435011602,0.29412779939010586,1.9124696269985402,0.8273813764457543,1.7699889552455779,True,
heuristic_edm_quality_pass,128,refined_distance_map_rmse,4,64,0.37264663168593265,0.09627029573499624,0.26668846361638254,0.3590538898778953,0.4976346382867349,0.2885048751897443,0.4662729248937424,0.4295997636998552,0.11287378830177726,0.22830064810064016,0.441504706819092,0.5880680778784516,0.4029551644681288,0.4561937051882352,-0.05695313201392255,0.8674274596349324,True,
heuristic_edm_quality_pass,128,refined_contact_jaccard_distance,4,64,0.6371598003411483,0.1624592432056711,0.4360706197569456,0.6459599590440712,0.8259287587412587,0.48901118252474673,0.8140479312354312,0.8495188331005524,0.11091202130089296,0.6467885375494071,0.8839387124763165,0.9583607382248818,0.8208154476846556,0.8762866623998591,-0.21235903275940415,0.750024337913332,True,
heuristic_edm_quality_pass,256,descriptor_distance,1,64,13.653672399994043,0.0,13.653672399994043,13.653672399994043,13.653672399994043,13.653672399994043,13.653672399994043,0.7820065707904301,1.4569603960939443,0.12221673515995027,0.3349474645148161,2.958572699028848,0.46896434445267116,1.2115699361741705,12.871665829203613,17.459792423730274,True,
heuristic_edm_quality_pass,256,refined_distance_map_rmse,1,64,0.496448462782049,0.0,0.496448462782049,0.496448462782049,0.496448462782049,0.496448462782049,0.496448462782049,0.4407165882401577,0.07670660518677347,0.22719934987501167,0.45925992210863686,0.5125501132555558,0.4189047375054098,0.4562395462481527,0.055731874541891324,1.1264574014888715,True,
heuristic_edm_quality_pass,256,refined_contact_jaccard_distance,1,64,0.8979007633587787,0.0,0.8979007633587787,0.8979007633587787,0.8979007633587787,0.8979007633587787,0.8979007633587787,0.849482055167077,0.09135918756062518,0.66826847796401,0.8783345874871284,0.9383886340611041,0.827641289601248,0.8729599639280989,0.04841870819170169,1.0569979176101356,True,
heuristic_edm_quality_pass,384,descriptor_distance,0,64,,,,,,,,2.15236558847746,4.509913992482751,0.23975894371785766,1.1047067019368715,4.637162298187611,1.2869254454570254,3.341706418573762,,,True,unavailable_empty_generated_group
heuristic_edm_quality_pass,384,refined_distance_map_rmse,0,64,,,,,,,,0.4795651358672065,0.07503771296977904,0.40073729092163674,0.4690642980643311,0.5410135110102156,0.46362254128190933,0.49780432876826447,,,True,unavailable_empty_generated_group
heuristic_edm_quality_pass,384,refined_contact_jaccard_distance,0,64,,,,,,,,0.8943785651561541,0.04005544587940734,0.8430446495800045,0.8979910107703939,0.9640116716611152,0.8846109322731641,0.9035613876025572,,,True,unavailable_empty_generated_group
heuristic_edm_quality_pass,500,descriptor_distance,0,64,,,,,,,,2.02688145765883,1.898501659091488,0.27075301392255835,1.4631665424372484,5.428822124798233,1.5717358770760648,2.526897758389063,,,True,unavailable_empty_generated_group
heuristic_edm_quality_pass,500,refined_distance_map_rmse,0,64,,,,,,,,0.4764481364244033,0.047564127585025234,0.39390403603565033,0.4815385485515525,0.5230637805083523,0.46272616614102396,0.48696812075691837,,,True,unavailable_empty_generated_group
heuristic_edm_quality_pass,500,refined_contact_jaccard_distance,0,64,,,,,,,,0.9035750433420793,0.0295277062907868,0.8418096876540315,0.9091684016266606,0.9507981640133499,0.896088048661151,0.9106606464724236,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,64,descriptor_distance,0,64,,,,,,,,0.4895360187998882,0.5608580770666597,0.06379435320984829,0.3118348870537415,1.9558738356375687,0.34880587181712935,0.6329445038175489,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,64,refined_distance_map_rmse,0,64,,,,,,,,0.3355908875639354,0.1657043896472709,0.021500711453443726,0.36488369174452107,0.5834479469653527,0.296626024543202,0.37878854729216954,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,64,refined_contact_jaccard_distance,0,64,,,,,,,,0.6642963049459021,0.28997141343762667,0.026050000000000025,0.7737753931847968,0.9441980593607305,0.5916261973322178,0.7351786282652082,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,128,descriptor_distance,0,64,,,,,,,,1.0745366810902786,4.0171693460918005,0.06269366850804411,0.232507181649366,1.2098529435011602,0.29412779939010586,1.9124696269985402,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,128,refined_distance_map_rmse,0,64,,,,,,,,0.4295997636998552,0.11287378830177726,0.22830064810064016,0.441504706819092,0.5880680778784516,0.4029551644681288,0.4561937051882352,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,128,refined_contact_jaccard_distance,0,64,,,,,,,,0.8495188331005524,0.11091202130089296,0.6467885375494071,0.8839387124763165,0.9583607382248818,0.8208154476846556,0.8762866623998591,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,256,descriptor_distance,0,64,,,,,,,,0.7820065707904301,1.4569603960939443,0.12221673515995027,0.3349474645148161,2.958572699028848,0.46896434445267116,1.2115699361741705,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,256,refined_distance_map_rmse,0,64,,,,,,,,0.4407165882401577,0.07670660518677347,0.22719934987501167,0.45925992210863686,0.5125501132555558,0.4189047375054098,0.4562395462481527,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,256,refined_contact_jaccard_distance,0,64,,,,,,,,0.849482055167077,0.09135918756062518,0.66826847796401,0.8783345874871284,0.9383886340611041,0.827641289601248,0.8729599639280989,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,384,descriptor_distance,0,64,,,,,,,,2.15236558847746,4.509913992482751,0.23975894371785766,1.1047067019368715,4.637162298187611,1.2869254454570254,3.341706418573762,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,384,refined_distance_map_rmse,0,64,,,,,,,,0.4795651358672065,0.07503771296977904,0.40073729092163674,0.4690642980643311,0.5410135110102156,0.46362254128190933,0.49780432876826447,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,384,refined_contact_jaccard_distance,0,64,,,,,,,,0.8943785651561541,0.04005544587940734,0.8430446495800045,0.8979910107703939,0.9640116716611152,0.8846109322731641,0.9035613876025572,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,500,descriptor_distance,0,64,,,,,,,,2.02688145765883,1.898501659091488,0.27075301392255835,1.4631665424372484,5.428822124798233,1.5717358770760648,2.526897758389063,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,500,refined_distance_map_rmse,0,64,,,,,,,,0.4764481364244033,0.047564127585025234,0.39390403603565033,0.4815385485515525,0.5230637805083523,0.46272616614102396,0.48696812075691837,,,True,unavailable_empty_generated_group
empirical_real_like_geometry_pass,500,refined_contact_jaccard_distance,0,64,,,,,,,,0.9035750433420793,0.0295277062907868,0.8418096876540315,0.9091684016266606,0.9507981640133499,0.896088048661151,0.9106606464724236,,,True,unavailable_empty_generated_group
