length,pair_count,distance_map_rmse_mean,contact_hamming_distance_mean,contact_jaccard_distance_mean,descriptor_distance_mean
64,1000,0.5442939649520058,0.08212053571428571,0.6828236975059161,4.523131490318717
128,1000,0.5768861501624293,0.04585605314960629,0.744724549060863,5.577987944527035
256,1000,0.5137060518966374,0.02430484068627451,0.7800253041023086,4.969881938313621
384,1000,0.47457448642978967,0.014324874891209748,0.7138738196989759,4.265990462561696
500,300,0.469927976307869,0.010899291917167668,0.7082455040094534,4.636258716725561
