requested_length,actual_length,pair_count,distance_map_rmse_mean,contact_hamming_distance_mean,contact_jaccard_distance_mean,descriptor_distance_mean
64,64,1000,0.729440719868367,0.08511855158730158,0.7594946373190657,10.525977484215382
128,128,1000,0.6322622773976787,0.06500639763779527,0.8952332217941982,8.15838700714208
256,248,1,0.026852201482309903,0.001763092595011101,0.08071748878923768,0.2406978862132742
256,249,1,0.5337138370059865,0.03604741546832491,0.8868525896414343,2.754103491747511
256,250,1,0.5604568282440132,0.025028112449799196,0.739089184060721,5.946762028689106
256,252,1,0.5770611146308627,0.0398406374501992,0.9445277361319341,6.855777698315505
256,254,1,0.495714081917564,0.030064423765211165,0.8320413436692506,0.9336345570490291
256,256,1000,0.5494437845449452,0.034923376225490195,0.8658574543944397,5.425189139355925
256,259,1,0.47683680665610334,0.039747388584597886,0.8979039891818796,1.7719716790523827
384,379,3,0.5096495691958781,0.027120473910271625,0.8962216649112893,1.5193607404923162
384,380,6,0.5525960175149438,0.02783178262278387,0.9334920362580478,6.615509336292411
384,382,1,0.6284270018959163,0.020049195421252972,0.8967424708051629,4.267328065645424
384,383,1,0.5222910105931526,0.02677948956297076,0.9205827067669173,4.194574272105073
384,384,435,0.5543897904351368,0.025302768274261478,0.8817758104133776,7.683880595221956
384,385,1,0.5212135898183431,0.026948051948051947,0.9196675900277008,1.603468390397554
384,386,3,0.5129629195573239,0.02906040418993787,0.936767068700478,1.372023186507066
384,388,3,0.5308861685136764,0.027438131010415836,0.919904960765197,1.396804346911737
384,389,6,0.5383435690851454,0.027869062447548124,0.9119931159701905,3.5313965352071066
384,390,1,0.4937785420835195,0.0291872651769824,0.9337832138338253,0.6192145731299096
384,391,1,0.6168471087290855,0.02600826283690734,0.8989120580235721,2.6608470559664
384,392,3,0.524396501411802,0.029289976860309343,0.9242117650332989,3.2552494693209293
500,492,1,0.5162655179090135,0.019845015150762507,0.8697387518142234,2.3050243694149466
500,493,15,0.5444647735134924,0.019389062044778662,0.9139317750898535,5.115634214881924
500,494,55,0.5350746768501418,0.01924685755154422,0.8930324608035954,6.262304917059402
500,495,21,0.5693272753412176,0.019691030217346008,0.9047012056384345,10.018971628460136
500,496,66,0.39577350963457036,0.016284916614828636,0.7434191937264133,1.253759840092505
500,497,105,0.3946888959079714,0.017165975886038194,0.774456738756767,0.5888901219569983
500,498,15,0.41555172993400136,0.01628243355716629,0.7376547454331482,0.5141451816456855
500,500,6,0.41701595638124195,0.01591315965263861,0.757867075932253,1.5920462832529758
