length,descriptor,generated_count,real_count,generated_mean,real_mean,generated_std,real_std,generated_q05,generated_q50,generated_q95,real_q05,real_q50,real_q95,generated_mean_ci_low,generated_mean_ci_high,real_mean_ci_low,real_mean_ci_high,wasserstein_distance,ks_statistic,warning
64,adjacent_residue_distance_mean,100,64,3.593135015964508,3.8058676517299768,0.1764313978978738,0.015764586986927846,3.2994714339574176,3.610250722794306,3.892672864217607,3.785896516792358,3.804687511353266,3.826935275981987,3.558512894571773,3.6299971095247874,3.802144830611166,3.8099922228701977,0.2246180002338499,0.84,
64,contact_fraction_6A,100,64,0.08967261904761907,0.08172531648582887,0.019677721284414258,0.010750674956240084,0.05151289682539682,0.09126984126984126,0.11956845238095239,0.06832745492432826,0.08035714285714286,0.09749503968253967,0.08623189484126983,0.0935763888888889,0.0796742325525227,0.0840410557792092,0.01131807493801809,0.334375,
64,contact_fraction_8A,100,64,0.13491071428571427,0.12759754739057397,0.016423367662738587,0.013908938730428247,0.11103670634920634,0.13095238095238096,0.16624503968253967,0.11184121685427212,0.12797619047619047,0.14771825396825394,0.13171552579365078,0.13802777777777778,0.12440192996122243,0.1303559802827381,0.007302706180945208,0.1875,
64,contact_fraction_10A,100,64,0.21682539682539684,0.20445408096282097,0.03144131410546093,0.03411646143345126,0.16666666666666666,0.21329365079365079,0.2728174603174603,0.16185515873015874,0.20064484126984128,0.25528273809523805,0.21056026785714285,0.22215302579365076,0.1952030242435516,0.2111775426168258,0.012481864711174599,0.18437499999999996,
64,long_range_contact_fraction,100,64,0.026711915535444945,0.02649028842306153,0.024373837976702277,0.021631682384201156,0.0,0.016591251885369532,0.0777526395173454,0.0,0.02601809954751131,0.06700603318250377,0.022983785822021117,0.03133578431372548,0.020654422105380613,0.03146298783936652,0.004633361596386809,0.14125,
64,distance_mean,100,64,17.159422521591186,19.30938883125782,2.611592154990256,6.276443424968835,14.543629169464111,16.55169105529785,22.125220394134516,13.72599892616272,17.8673152923584,32.599860763549806,16.663214288473128,17.652529148817063,17.793378518149257,21.102140688896178,2.740305128097534,0.255625,
64,distance_std,100,64,8.353365335464478,9.943225041031837,2.278200257088098,5.351163062788661,5.65766978263855,7.943403482437134,12.849063968658445,5.113312077522278,8.419881820678711,21.73182258605957,7.924119000077248,8.75014564681053,8.613417398557067,11.222089793160558,2.107870916886763,0.190625,
64,radius_of_gyration,100,64,13.405730510640689,15.285574710120578,2.3376493794247297,5.657373879234409,10.986276805658203,12.901648313673343,17.836390788974924,10.24543658856345,13.879532583169452,27.428795935749953,12.934191021357694,13.913683881445763,13.853204643006075,16.756384458888885,2.4099157941638523,0.22125,
64,triangle_violation_fraction,100,64,0.0043017578125,0.0,0.005976089758034223,0.0,0.0,0.00244140625,0.016186523437499996,0.0,0.0,0.0,0.00321240234375,0.005376953125,0.0,0.0,0.004301757812500002,0.9,
64,triangle_violation_mean,100,64,0.001250063645420596,0.0,0.0022788247600037627,0.0,0.0,0.0005608704523183405,0.004018989065662024,0.0,0.0,0.0,0.0008616519730421714,0.0017137704043707347,0.0,0.0,0.0012500636454205974,0.9,
64,negative_eigenvalue_mass_fraction,100,64,0.051912388495042594,2.643218055546833e-07,0.013576648485587546,1.985678744757789e-08,0.030076153643599092,0.05216687126296955,0.07474137880311563,2.374754571635971e-07,2.618579910339972e-07,3.0037383438157174e-07,0.04894716358883859,0.0545649083001938,2.5958316960084166e-07,2.6914029315926124e-07,0.051912124185541655,1.0,
