requested_length,exact_length_subgroup_count,pair_count,distance_map_rmse_mean,contact_hamming_distance_mean,contact_jaccard_distance_mean,descriptor_distance_mean
64,1,1000,0.729440719868367,0.08511855158730158,0.7594946373190657,10.525977484215382
128,1,1000,0.6322622773976787,0.06500639763779527,0.8952332217941982,8.15838700714208
256,7,1006,0.5488214904720499,0.034886548007756805,0.8650482969442487,5.411224738267387
384,12,464,0.5532789635518127,0.025449587268501515,0.8841517087518893,7.412381982192862
500,8,284,0.4449541356445454,0.017604637928196012,0.8052460353283853,2.8017985207900247
