requested_length,metric,generated_mean,generated_ci_low,generated_ci_high,real_mean,real_ci_low,real_ci_high,generated_minus_real,generated_over_real,generated_pair_count,real_pair_count,warning
64,distance_map_rmse,0.5442939649520059,0.5341924101780026,0.5562398411174062,0.7294407198683669,0.7053749798443598,0.754889644912149,-0.185146754916361,0.7461798472811167,1000,1000,
64,contact_hamming_distance,0.08212053571428572,0.07975079365079366,0.08460975942460318,0.0851185515873016,0.08328619791666667,0.08696624503968253,-0.0029980158730158746,0.9647783495241814,1000,1000,
64,contact_jaccard_distance,0.6828236975059161,0.6704921052545683,0.695263387647952,0.7594946373190657,0.7465730289147267,0.7702802634856399,-0.07667093981314965,0.8990500577018031,1000,1000,
64,descriptor_distance,4.523131490318717,4.2991866778452055,4.7886007062152744,10.525977484215382,9.846901826041547,11.167978788916946,-6.002845993896664,0.42971130207161723,1000,1000,
128,distance_map_rmse,0.5768861501624293,0.5648997770186253,0.5902847177055125,0.6322622773976786,0.614675287116761,0.654993149332983,-0.05537612723524932,0.9124158925577984,1000,1000,
128,contact_hamming_distance,0.04585605314960629,0.04470748646653543,0.04685531496062992,0.06500639763779527,0.06413448880413385,0.06583108083169292,-0.019150344488188975,0.7054083108113223,1000,1000,
128,contact_jaccard_distance,0.7447245490608632,0.7344905908952034,0.7541342652860374,0.8952332217941983,0.8901581027288248,0.8995366200607644,-0.15050867273333512,0.8318776950304745,1000,1000,
128,descriptor_distance,5.577987944527035,5.116550568759465,5.963726577192,8.158387007142082,7.222639070211531,9.075482854228955,-2.5803990626150473,0.6837121038317877,1000,1000,
256,distance_map_rmse,0.5137060518966374,0.5080099063365376,0.5194528849717372,0.5488214904720499,0.5421589240308928,0.5551880129155788,-0.03511543857541244,0.9360166480630904,1000,1006,
256,contact_hamming_distance,0.02430484068627451,0.023912719822303922,0.02467953125,0.034886548007756805,0.034526215072927094,0.03516670729837557,-0.010581707321482295,0.6966823051931215,1000,1006,
256,contact_jaccard_distance,0.7800253041023086,0.7730903197925586,0.7867089500349558,0.8650482969442487,0.8600919698440684,0.8691023742806213,-0.08502299284194004,0.9017130105425551,1000,1006,
256,descriptor_distance,4.96988193831362,4.631210720172503,5.2639141134808805,5.4112247382673875,5.057819627179818,5.768230244305328,-0.4413427999537678,0.9184393882529668,1000,1006,
384,distance_map_rmse,0.47457448642978967,0.469689005735024,0.4790230843388426,0.5532789635518128,0.5372961385691319,0.5714924936361008,-0.07870447712202316,0.8577490157645353,1000,464,
384,contact_hamming_distance,0.01432487489120975,0.01415130582299826,0.014493722802436902,0.025449587268501515,0.025019059499138307,0.02585807916321743,-0.011124712377291766,0.5628725817860073,1000,464,
384,contact_jaccard_distance,0.7138738196989759,0.7098807160921697,0.7178922055357814,0.8841517087518893,0.8722247097243029,0.8945899692923956,-0.1702778890529134,0.8074110049583167,1000,464,
384,descriptor_distance,4.265990462561696,4.0384960456164185,4.502075521106629,7.412381982192863,6.500337885647946,8.429943746553763,-3.146391519631167,0.5755222103785395,1000,464,
500,distance_map_rmse,0.469927976307869,0.464196565738701,0.4767386264961275,0.4449541356445454,0.42444124933844374,0.47055374029782837,0.024973840663323588,1.056126775015019,300,284,
500,contact_hamming_distance,0.010899291917167668,0.01068212692050768,0.011093190380761524,0.017604637928196012,0.016955291158125715,0.018209499284895892,-0.006705346011028344,0.6191148015439215,300,284,
500,contact_jaccard_distance,0.7082455040094533,0.7014059706273934,0.714262856452548,0.8052460353283853,0.7778127249157573,0.8292674352470001,-0.09700053131893205,0.8795392624573749,300,284,
500,descriptor_distance,4.636258716725561,4.180108187610222,5.0873209795966865,2.801798520790025,2.3209731818192743,3.353697930060601,1.8344601959355362,1.6547437948601216,300,284,
