group,requested_length,metric,baseline_mean,baseline_median,candidate_mean,candidate_median,paired_mean_change_candidate_minus_baseline,paired_median_change_candidate_minus_baseline,mean_improvement_baseline_minus_candidate,median_improvement_baseline_minus_candidate,relative_mean_change,bootstrap_ci_low,bootstrap_ci_high,fraction_improved,paired_standardized_effect_size,paired_sample_count,sign_test_p_value,sign_test_improved,sign_test_worsened,sign_test_ties,sign_test_p_value_bh
overall,,triangle_violation_fraction,0.0056484375,0.00341796875,0.0019244791666666666,0.0009765625,-0.0037239583333333335,-0.001953125,0.0037239583333333335,0.001953125,-0.6592899953895804,0.0030468424479166666,0.004445377604166666,0.736,0.510206583560651,375,2.8930707113455527e-15,276,67,32,9.643569037818508e-15
overall,,negative_eigenvalue_mass_fraction,0.13298076386605545,0.11181842543370636,0.09742894964371529,0.09330146281440471,-0.03555181422234015,-0.03244353042385101,0.03555181422234015,0.03244353042385101,-0.26734554072910605,0.03379576492521358,0.03726582691123128,0.952,1.4005523412732004,375,1.6954115769099344e-15,357,18,0,7.1675907601039e-15
overall,,rank3_residual_energy_fraction,0.18924574840836517,0.1716378361029837,0.15445107835495991,0.1487855714724837,-0.03479467005340526,-0.0310998251036447,0.03479467005340526,0.0310998251036447,-0.1838597186253471,0.03128290943186638,0.03845387632871159,0.76,0.7809513212363636,375,1.6954115769099344e-15,285,90,0,7.1675907601039e-15
overall,,classical_mds_stress,0.09493132243723063,0.077233870193409,0.07592900966124509,0.06974965012506301,-0.019002312775985533,-0.013496231438782348,0.019002312775985533,0.013496231438782348,-0.20016905156409276,0.016046398411326216,0.021792401833207808,0.6986666666666667,0.5143530198356137,375,9.47238489796469e-15,262,113,0,2.8417154693894067e-14
overall,,adjacent_residue_distance_rmse,0.3271140822664099,0.26380022222108934,0.2524290629883402,0.23556552275661968,-0.07468501927806964,-0.03302447745686721,0.07468501927806964,0.03302447745686721,-0.22831490090739762,0.06101909166309191,0.08915228026826212,0.672,0.43094970106254715,375,2.4655524377765227e-11,252,123,0,5.283326652378263e-11
