length,descriptor,baseline_generated_mean,candidate_generated_mean,real_mean,baseline_abs_standardized_mean_discrepancy,candidate_abs_standardized_mean_discrepancy,mean_discrepancy_improvement,baseline_wasserstein_distance,candidate_wasserstein_distance,wasserstein_improvement,baseline_ks_statistic,candidate_ks_statistic,ks_improvement
64,adjacent_residue_distance_mean,3.2963043544973645,3.715684255702155,3.8058676517299768,0.5095632972326123,0.09018339602782177,0.4193799012047905,0.5094811846325696,0.1595673249170434,0.34991385971552624,1.0,0.664375,0.33562499999999995
64,contact_fraction_6A,0.0942609126984126,0.0887400793650793,0.0817253164858288,0.012535596212583794,0.0070147628792505,0.005520833333333294,0.0149503801328232,0.0097470071169502,0.005203373015873,0.45875,0.31625,0.14250000000000002
64,contact_fraction_8A,0.1484970238095238,0.1277430555555555,0.1275975473905739,0.020899476418949875,0.00014550816498160035,0.020753968253968275,0.0208525066617676,0.0033353710196319,0.0175171356421357,0.5025,0.165625,0.3368749999999999
64,contact_fraction_10A,0.2484474206349206,0.2013343253968254,0.2044540809628209,0.0439933396720997,0.0031197555659955023,0.0408735841061042,0.0439631958800057,0.0067219140773146,0.037241281802691095,0.53,0.175,0.35500000000000004
64,long_range_contact_fraction,0.0452790346907993,0.0188159879336349,0.0264902884230615,0.018788746267737803,0.007674300489426598,0.011114445778311204,0.0188795960342178,0.0075834507229465,0.011296145311271301,0.318125,0.285625,0.03249999999999997
64,distance_mean,14.926434230804444,18.702441101074218,19.30938883125782,4.382954600453376,0.6069477301836024,3.7760068702697733,4.35727805744518,1.313880356875333,3.043397700569847,0.4656249999999999,0.19125,0.2743749999999999
64,distance_std,6.6544953632354735,9.342193627357483,9.943225041031836,3.288729677796362,0.6010314136743524,2.6876982641220097,3.2685242635553533,0.9976114858280524,2.270912777727301,0.373125,0.161875,0.21125
64,radius_of_gyration,11.480885293508344,14.699479242130646,15.285574710120578,3.8046894166122343,0.5860954679899315,3.2185939486223027,3.780431428373912,1.163791615540711,2.616639812833201,0.4656249999999999,0.1856249999999999,0.28
64,triangle_violation_fraction,0.0094970703125,0.00310546875,0.0,0.0094970703125,0.00310546875,0.0063916015625,0.0094970703125,0.00310546875,0.0063916015625,0.91,0.8200000000000001,0.08999999999999997
64,triangle_violation_mean,0.0041001985722687,0.0008597733511123,0.0,0.0041001985722687,0.0008597733511123,0.0032404252211563995,0.0041001985722687,0.0008597733511123,0.0032404252211563995,0.91,0.8200000000000001,0.08999999999999997
64,negative_eigenvalue_mass_fraction,0.0699478558316086,0.0486933036786702,2.643218055546833e-07,0.06994759150980305,0.04869303935686464,0.021254552152938408,0.0699475915221077,0.0486930393691693,0.021254552152938394,1.0,1.0,0.0
64,rank3_residual_energy_fraction,0.0961428153214409,0.0789800227661137,2.65188116826453e-07,0.09614255013332407,0.07897975757799687,0.017162792555327197,0.0961425501382731,0.0789797575829459,0.017162792555327197,1.0,1.0,0.0
128,adjacent_residue_distance_mean,3.63401261468572,3.850812095638336,3.807906231923601,0.17389361723788088,0.04290586371473504,0.13098775352314584,0.1739581848812171,0.0989855358322433,0.07497264904897379,0.90875,0.465,0.4437499999999999
128,contact_fraction_6A,0.0369697342519685,0.0383083169291338,0.0405542568897637,0.0035845226377951983,0.0022459399606298974,0.0013385826771653009,0.0043235504652827,0.0031777916964924,0.0011457587687903003,0.425,0.3225,0.10249999999999998
128,contact_fraction_8A,0.0739566929133858,0.0686712598425196,0.0707085076279527,0.0032481852854331084,0.0020372477854330995,0.0012109375000000089,0.0032053060128847,0.0031003937007874,0.00010491231209730023,0.2093749999999999,0.258125,-0.0487500000000001
128,contact_fraction_10A,0.1318934547244094,0.1157874015748031,0.121087982898622,0.01080547182578738,0.005300581323818901,0.005504890501968479,0.0107291293843951,0.0068443539727988,0.0038847754115962996,0.32375,0.2412499999999999,0.08250000000000007
128,long_range_contact_fraction,0.029167916041979,0.0186791604197901,0.0231118815592203,0.006056034482758699,0.004432721139430201,0.0016233133433284988,0.0060727817909227,0.004888646585798,0.0011841352051246996,0.390625,0.286875,0.10375000000000001
128,distance_mean,17.8522859954834,19.852612171173096,21.455674678087234,3.6033886826038355,1.6030625069141387,2.000326175689697,3.50373586481268,1.5458422036604462,1.9578936611522337,0.649375,0.1899999999999999,0.45937500000000014
128,distance_std,7.056561913490295,8.58245484828949,10.135987870395184,3.0794259569048883,1.553533022105693,1.5258929347991952,2.985378326936204,1.4696457082575032,1.515732618678701,0.596875,0.226875,0.37000000000000005
128,radius_of_gyration,13.525135132350249,15.256726849559554,16.7715935658075,3.246458433457251,1.5148667162479459,1.7315917172093052,3.151596735063163,1.4572221395671303,1.6943745954960325,0.6325,0.1943749999999999,0.43812500000000004
128,triangle_violation_fraction,0.0015380859375,0.0012548828125,0.0,0.0015380859375,0.0012548828125,0.00028320312500000003,0.0015380859375,0.0012548828125,0.00028320312500000003,0.81,0.84,-0.029999999999999916
128,triangle_violation_mean,0.0009239385602995,0.0006303152162581,0.0,0.0009239385602995,0.0006303152162581,0.0002936233440414,0.0009239385602995,0.0006303152162581,0.0002936233440414,0.81,0.84,-0.029999999999999916
128,negative_eigenvalue_mass_fraction,0.1004674709274529,0.083164768310728,3.746926033245365e-07,0.10046709623484958,0.08316439361812468,0.017302702616724897,0.1004670962806088,0.0831643936638839,0.01730270261672491,1.0,1.0,0.0
128,rank3_residual_energy_fraction,0.1415917177007459,0.1335614384301001,3.740689266142593e-07,0.1415913436318193,0.1335610643611735,0.008030279270645813,0.1415913436681123,0.1335610643974664,0.008030279270645896,1.0,1.0,0.0
256,adjacent_residue_distance_mean,3.620892340244031,3.9071171272034735,3.8133795570247377,0.19248721678070657,0.09373757017873574,0.09874964660197083,0.1924287450247794,0.1064779321632552,0.08595081286152421,1.0,0.65,0.35
256,contact_fraction_6A,0.0219715073529411,0.0192781862745098,0.0218594960956365,0.0001120112573045999,0.0025813098211267017,-0.002469298563822102,0.0005816937609587,0.0025796544533518,-0.0019979606923931,0.158125,0.569375,-0.41125
256,contact_fraction_8A,0.0389454656862745,0.0345199142156862,0.0382033747724345,0.0007420909138400045,0.0036834605567482998,-0.0029413696429082953,0.0008799849802329,0.0036799385993307,-0.0027999536190978,0.185,0.65375,-0.46875000000000006
