group,requested_length,metric,baseline_mean,baseline_median,candidate_mean,candidate_median,paired_mean_change_candidate_minus_baseline,paired_median_change_candidate_minus_baseline,mean_improvement_baseline_minus_candidate,median_improvement_baseline_minus_candidate,relative_mean_change,bootstrap_ci_low,bootstrap_ci_high,fraction_improved,paired_standardized_effect_size,paired_sample_count,sign_test_p_value,sign_test_improved,sign_test_worsened,sign_test_ties,sign_test_p_value_bh
64,64.0,triangle_violation_fraction,0.0094970703125,0.003173828125,0.00310546875,0.00146484375,-0.0063916015625,-0.00146484375,0.0063916015625,0.00146484375,-0.6730077120822622,0.0039940185546875,0.009014160156249998,0.66,0.5046460841191817,100,1.4100783873147607e-06,66,21,13,2.014397696163944e-06
64,64.0,negative_eigenvalue_mass_fraction,0.06994785583160863,0.06820680975390435,0.04869330367867025,0.04888940557679484,-0.0212545521529384,-0.01945950313753158,0.0212545521529384,0.01945950313753158,-0.30386281180807395,0.018090901785609462,0.02473436937099029,0.91,1.238006902312474,100,1.9113575360277067e-15,91,9,0,7.1675907601039e-15
64,64.0,rank3_residual_energy_fraction,0.09614281532144096,0.10294665540536858,0.07898002276611377,0.07867921754168972,-0.017162792555327207,-0.013215091576616121,0.017162792555327207,0.013215091576616121,-0.17851352176390547,0.009971498442341452,0.024381191782443988,0.64,0.4643565012204278,100,0.006637120515926126,64,36,0,0.008657113716425382
64,64.0,classical_mds_stress,0.04817177786546384,0.046623335938224444,0.03954666627116128,0.03796640337689543,-0.00862511159430255,-0.003947644756414079,0.00862511159430255,0.003947644756414079,-0.1790490610164136,0.004834956003783951,0.012608660945120791,0.66,0.4328752818584565,100,0.0017899303914868526,66,34,0,0.0024408141702093444
64,64.0,adjacent_residue_distance_rmse,0.5349189466677163,0.5183653843723706,0.28677396511706876,0.25930445699234506,-0.24814498155064757,-0.25561275763575186,0.24814498155064757,0.25561275763575186,-0.46389267588383165,0.20305368722848632,0.2925423308175951,0.87,1.100546102287483,100,1.3129815522035853e-14,87,13,0,3.5808587787370504e-14
128,128.0,triangle_violation_fraction,0.0015380859375,0.0009765625,0.0012548828125,0.0009765625,-0.000283203125,0.0,0.000283203125,0.0,-0.18412698412698417,-0.00017590332031249998,0.0007177734375,0.47,0.11888437253554315,100,0.32613417119198296,47,37,16,0.3623713013244255
128,128.0,negative_eigenvalue_mass_fraction,0.10046747092745294,0.0993304025729505,0.08316476831072807,0.08435783361516946,-0.01730270261672491,-0.014452861454478848,0.01730270261672491,0.014452861454478848,-0.1722219386732554,0.014545501609617924,0.020327097776656325,0.91,1.172880830720705,100,1.9113575360277067e-15,91,9,0,7.1675907601039e-15
128,128.0,rank3_residual_energy_fraction,0.14159171770074597,0.13399437891226357,0.1335614384301001,0.13164185236368559,-0.008030279270645901,-0.009170347627924465,0.008030279270645901,0.009170347627924465,-0.05671432906561569,0.001484189086560652,0.014378770661817438,0.58,0.24969673462199887,100,0.1332106192072133,58,42,0,0.15370456062370766
128,128.0,classical_mds_stress,0.05312548655873295,0.04414042330010898,0.0603264221204882,0.06159471097218327,0.007200935561755248,0.0016151650024769579,-0.007200935561755248,-0.0016151650024769579,0.13554578090864633,-0.012595737320236335,-0.0019029671697871325,0.48,-0.2592270231728726,100,0.7643534344026668,48,52,0,0.7907104493820691
128,128.0,adjacent_residue_distance_rmse,0.23660734938686276,0.2213746076967381,0.22417624308776302,0.21112292344249678,-0.012431106299099772,-0.009863290920040263,0.012431106299099772,0.009863290920040263,-0.052538969441622764,-0.007517480353498703,0.03406965665589241,0.55,0.11504028530761354,100,0.3682016173266962,55,45,0,0.39450173285003165
256,256.0,triangle_violation_fraction,0.004248046875,0.00439453125,0.001279296875,0.0009765625,-0.00296875,-0.0029296875,0.00296875,0.0029296875,-0.6988505747126437,0.00251953125,0.003427734375,0.89,1.2583092233707203,100,1.4342435250828828e-15,89,8,3,7.1675907601039e-15
256,256.0,negative_eigenvalue_mass_fraction,0.1623857036489349,0.1628029557375133,0.11670302289568013,0.11610928428092569,-0.045682680753254754,-0.04632690712253058,0.045682680753254754,0.04632690712253058,-0.2813220605430705,0.04209674821755411,0.04917461085932135,1.0,2.5223229010518375,100,1.9113575360277067e-15,100,0,0,7.1675907601039e-15
256,256.0,rank3_residual_energy_fraction,0.2340417018340421,0.2314632123810025,0.18789900546782895,0.18585834180334146,-0.04614269636621318,-0.04129247672439286,0.04614269636621318,0.04129247672439286,-0.19715587437888624,0.03846262717920797,0.05412296849430657,0.89,1.1628336602432212,100,1.9113575360277067e-15,89,11,0,7.1675907601039e-15
256,256.0,classical_mds_stress,0.11878485326669766,0.11711551214762603,0.09233839577803014,0.0919729825084688,-0.026446457488667523,-0.025441715908389468,0.026446457488667523,0.025441715908389468,-0.2226416648365891,0.01988632816490387,0.033266429551432664,0.77,0.7769645277113705,100,5.5135807758500534e-08,77,23,0,8.940696716308594e-08
256,256.0,adjacent_residue_distance_rmse,0.2525986080676056,0.2429800862875879,0.241844634242102,0.22679665874545776,-0.010753973825503584,-0.026560869689426864,0.010753973825503584,0.026560869689426864,-0.04257336929831927,-0.00548977665328061,0.027271745991166108,0.63,0.1293958409984199,100,0.012032975725363479,63,37,0,0.015041219656704347
384,384.0,triangle_violation_fraction,0.007724609375,0.0078125,0.001708984375,0.0009765625,-0.006015625,-0.005859375,0.006015625,0.005859375,-0.7787610619469026,0.0051755371093749995,0.006953125,0.98,1.8869135447307048,50,9.059419880941277e-14,49,1,0,2.0906353571402948e-13
384,384.0,negative_eigenvalue_mass_fraction,0.2127200888542635,0.21180441319574553,0.14987446366589505,0.1518817883595739,-0.06284562518836849,-0.06364406634442797,0.06284562518836849,0.06364406634442797,-0.2954381296419285,0.05767877018864338,0.06825932569244728,1.0,3.323450618289869,50,1.7763568394002505e-15,50,0,0,7.1675907601039e-15
384,384.0,rank3_residual_energy_fraction,0.30395303598586876,0.30746077950103545,0.23486213014608925,0.23473710343265355,-0.06909090583977949,-0.06863360320294337,0.06909090583977949,0.06863360320294337,-0.22730783265804144,0.06060892719686373,0.07745213861191,0.98,2.224072125962578,50,9.059419880941277e-14,49,1,0,2.0906353571402948e-13
384,384.0,classical_mds_stress,0.17037744956716153,0.16808827328986378,0.12180241236075774,0.12269220426647397,-0.04857503720640379,-0.05192600194696407,0.04857503720640379,0.05192600194696407,-0.28510250229597356,0.04051758227398545,0.05691204495231022,0.92,1.5185644109924938,50,4.461782054931973e-10,46,4,0,8.923564109863946e-10
