domain,requested_length,metric,baseline_generated_mean,candidate_generated_mean,real_mean,baseline_generated_over_real,candidate_generated_over_real,baseline_ratio_distance_from_one,candidate_ratio_distance_from_one,candidate_moves_closer_to_real_ratio,ratio_closeness_improvement,baseline_ci_low,baseline_ci_high,candidate_ci_low,candidate_ci_high
novelty,64,descriptor_distance,0.76157590017362,0.7685217211245109,0.4895360187998882,1.5557096330534483,1.5698982130233528,0.5557096330534483,0.5698982130233528,False,-0.014188579969904414,0.680765146433341,0.8504178390151051,0.6561765686049584,0.9031221913713576
novelty,64,refined_distance_map_rmse,0.3113001995920389,0.2817147902494852,0.3355908875639354,0.927618153912869,0.8394589981106506,0.07238184608713105,0.1605410018893494,False,-0.08815915580221834,0.2907546731092896,0.3327807631375987,0.2604597400852413,0.3029789333158312
novelty,64,refined_contact_jaccard_distance,0.6954313678276708,0.6093156693317329,0.6642963049459021,1.0468692399008666,0.9172347712838074,0.046869239900866555,0.08276522871619263,False,-0.035895988815326074,0.6630531578499103,0.7249701015374204,0.569041657596033,0.6485485137563407
novelty,128,descriptor_distance,0.383097475439334,0.5052867509782715,1.0745366810902786,0.3565234041620843,0.470236856377562,0.6434765958379157,0.5297631436224379,True,0.1137134522154778,0.3425040332141212,0.4209116820602828,0.4339439993007203,0.610650506066016
novelty,128,refined_distance_map_rmse,0.3127413041565275,0.3541185769792724,0.4295997636998552,0.727982951999545,0.8242988169487947,0.272017048000455,0.1757011830512053,True,0.09631586494924971,0.2812875362362201,0.3414258851473953,0.3332839834574915,0.3735330771428688
novelty,128,refined_contact_jaccard_distance,0.7269950425658637,0.7568622949143312,0.8495188331005524,0.8557727200849633,0.890930566132306,0.1442272799150367,0.10906943386769397,True,0.03515784604734273,0.6871920576861953,0.7691509773470872,0.7286102825984728,0.7857211296951913
novelty,256,descriptor_distance,1.318856718694645,0.7917790155114812,0.7820065707904301,1.686503372166786,1.0124966273763831,0.6865033721667859,0.01249662737638313,True,0.6740067447904028,1.2011181334066106,1.4589604476426297,0.6631783972960282,0.933122834330412
novelty,256,refined_distance_map_rmse,0.3923824745296279,0.4334759010953175,0.4407165882401577,0.8903283538667456,0.9835706498506144,0.10967164613325442,0.016429350149385624,True,0.0932422959838688,0.3855197211348184,0.3984411835835958,0.4256923628307845,0.4406756022078503
novelty,256,refined_contact_jaccard_distance,0.8562493697700835,0.8381209473004325,0.849482055167077,1.00796640089316,0.9866258412434504,0.00796640089315992,0.01337415875654957,False,-0.005407757863389651,0.8473307396352394,0.8657978225749785,0.8215314881114406,0.8538997414971125
novelty,384,descriptor_distance,5.030423816541154,1.7219716275581236,2.15236558847746,2.337160491447725,0.8000367766408175,1.337160491447725,0.19996322335918248,True,1.1371972680885425,4.675747027235654,5.349818491511307,1.4248594183967251,2.0311237293078457
novelty,384,refined_distance_map_rmse,0.4206541412684847,0.4278292509561245,0.4795651358672065,0.8771574699812321,0.8921191699694203,0.12284253001876788,0.10788083003057969,True,0.014961699988188193,0.4172026444075862,0.4235539656788309,0.4181581783038001,0.4390940508792242
novelty,384,refined_contact_jaccard_distance,0.9040048986388168,0.8568731819402196,0.8943785651561541,1.0107631531632044,0.9580654270159232,0.01076315316320442,0.04193457298407677,False,-0.031171419820872348,0.8904519486629016,0.9192992301100926,0.8384746435624326,0.8739985509798733
novelty,500,descriptor_distance,7.044329782170921,3.253696262249194,2.02688145765883,3.4754522794379628,1.6052721040762834,2.4754522794379628,0.6052721040762834,True,1.8701801753616794,6.735361006683442,7.387038677912417,2.4045435293508275,4.191959707510569
novelty,500,refined_distance_map_rmse,0.4214061413083661,0.4293112787091211,0.4764481364244033,0.884474319641356,0.9010661305781784,0.11552568035864397,0.09893386942182159,True,0.016591810936822382,0.4158249272414386,0.4274883392517235,0.4177665241124782,0.4421194175919606
novelty,500,refined_contact_jaccard_distance,0.8875260285637058,0.8373033620241296,0.9035750433420792,0.9822383155703232,0.9266561401775456,0.01776168442967685,0.0733438598224544,False,-0.055582175392777544,0.8702425820769968,0.905063643075968,0.8193818468566769,0.8561513047769549
