length_bin,samples,unique_pdb,unique_sequences,mean_length,effective_training_weight,sample_fraction
20-64,24111,10489,7495,47.097424412094064,7495.0,0.08904112118470373
65-128,79991,28618,24993,101.00560063007089,24993.0,0.2954041028860535
129-192,58365,26420,19471,155.77890859247836,19471.0,0.21554000406226342
193-256,49446,23478,19763,221.11234478016422,19763.0,0.18260243366508486
257-320,26469,20373,11172,286.1393705844573,11172.0,0.0977491367690234
321-384,17007,13328,6653,346.31963309225614,6653.0,0.06280628542939971
385-448,10476,7507,4670,415.2327224131348,4670.0,0.038687519618885835
449-500,4920,3398,2332,470.02682926829266,2332.0,0.018169396384585555
