domain,requested_length,metric,baseline_generated_mean,candidate_generated_mean,real_mean,baseline_generated_over_real,candidate_generated_over_real,baseline_ratio_distance_from_one,candidate_ratio_distance_from_one,candidate_moves_closer_to_real_ratio,ratio_closeness_improvement,baseline_ci_low,baseline_ci_high,candidate_ci_low,candidate_ci_high
novelty,64,descriptor_distance,0.7685217211245109,0.6009606851490056,0.4895360187998882,1.5698982130233528,1.22761280492144,0.5698982130233528,0.2276128049214401,True,0.34228540810191266,0.6561765686049584,0.9031221913713576,0.5243652805156468,0.6890743416462505
novelty,64,refined_distance_map_rmse,0.2817147902494852,0.2960016113838221,0.3355908875639354,0.8394589981106506,0.8820311347918501,0.1605410018893494,0.11796886520814986,True,0.042572136681199524,0.2604597400852413,0.3029789333158312,0.2739530014509449,0.3198232563389375
novelty,64,refined_contact_jaccard_distance,0.6093156693317329,0.625480846010156,0.6642963049459021,0.9172347712838074,0.9415690578936652,0.08276522871619263,0.058430942106334816,True,0.024334286609857814,0.569041657596033,0.6485485137563407,0.5845815361561851,0.6653840241440636
novelty,128,descriptor_distance,0.5052867509782715,0.5488020122194339,1.0745366810902786,0.470236856377562,0.5107336230370395,0.5297631436224379,0.4892663769629605,True,0.040496766659477434,0.4339439993007203,0.610650506066016,0.4587258338035738,0.6572428109098347
novelty,128,refined_distance_map_rmse,0.3541185769792724,0.3833421265393719,0.4295997636998552,0.8242988169487947,0.8923238766192578,0.1757011830512053,0.10767612338074217,True,0.06802505967046313,0.3332839834574915,0.3735330771428688,0.3647972249279613,0.4004423892170289
novelty,128,refined_contact_jaccard_distance,0.7568622949143312,0.7554743379302092,0.8495188331005524,0.890930566132306,0.8892967506946232,0.10906943386769397,0.11070324930537678,False,-0.0016338154376828173,0.7286102825984728,0.7857211296951913,0.7279148747736416,0.7812054668008861
novelty,256,descriptor_distance,0.7917790155114812,0.8846344869420599,0.7820065707904301,1.0124966273763831,1.1312366417175963,0.01249662737638313,0.1312366417175963,False,-0.11874001434121317,0.6631783972960282,0.933122834330412,0.6667877066774597,1.214269120132947
novelty,256,refined_distance_map_rmse,0.4334759010953175,0.4374326823532037,0.4407165882401577,0.9835706498506144,0.9925487127678424,0.016429350149385624,0.0074512872321576,True,0.008978062917228025,0.4256923628307845,0.4406756022078503,0.4291837989257229,0.4450617023562718
novelty,256,refined_contact_jaccard_distance,0.8381209473004325,0.846042106736477,0.849482055167077,0.9866258412434504,0.9959505343171452,0.01337415875654957,0.004049465682854803,True,0.009324693073694768,0.8215314881114406,0.8538997414971125,0.8347887039499312,0.859313913047079
novelty,384,descriptor_distance,1.7219716275581236,1.918626010560136,2.15236558847746,0.8000367766408175,0.8914034032282282,0.19996322335918248,0.1085965967717718,True,0.09136662658741068,1.4248594183967251,2.0311237293078457,1.6044979594824973,2.241693539807358
novelty,384,refined_distance_map_rmse,0.4278292509561245,0.4209188369295693,0.4795651358672065,0.8921191699694203,0.8777094193230165,0.10788083003057969,0.1222905806769835,False,-0.014409750646403818,0.4181581783038001,0.4390940508792242,0.4114540151812966,0.4315221710783049
novelty,384,refined_contact_jaccard_distance,0.8568731819402196,0.8706433763412182,0.8943785651561541,0.9580654270159232,0.9734618094175906,0.04193457298407677,0.02653819058240936,True,0.015396382401667408,0.8384746435624326,0.8739985509798733,0.8530036758889328,0.8886399100364487
novelty,500,descriptor_distance,3.253696262249194,3.310490908644593,2.02688145765883,1.6052721040762834,1.6332928085830978,0.6052721040762834,0.6332928085830978,False,-0.028020704506814376,2.4045435293508275,4.191959707510569,2.548507873034506,4.123376006497625
novelty,500,refined_distance_map_rmse,0.4293112787091211,0.4276588879434807,0.4764481364244033,0.9010661305781784,0.8975979865362244,0.09893386942182159,0.10240201346377564,False,-0.0034681440419540577,0.4177665241124782,0.4421194175919606,0.4143203551867729,0.4425038976093204
novelty,500,refined_contact_jaccard_distance,0.8373033620241296,0.8398210673273903,0.9035750433420792,0.9266561401775456,0.9294425222515218,0.0733438598224544,0.0705574777484782,True,0.00278638207397619,0.8193818468566769,0.8561513047769549,0.8256426302177237,0.8540259780707046
