group,requested_length,metric,baseline_mean,baseline_median,candidate_mean,candidate_median,paired_mean_change_candidate_minus_baseline,paired_median_change_candidate_minus_baseline,mean_improvement_baseline_minus_candidate,median_improvement_baseline_minus_candidate,relative_mean_change,bootstrap_ci_low,bootstrap_ci_high,fraction_improved,paired_standardized_effect_size,paired_sample_count,sign_test_p_value,sign_test_improved,sign_test_worsened,sign_test_ties,sign_test_p_value_bh
overall,,triangle_violation_fraction,0.0019244791666666666,0.0009765625,0.0021927083333333334,0.0009765625,0.00026822916666666667,0.0,-0.00026822916666666667,0.0,0.13937753721244936,-0.0005690104166666667,1.5625e-05,0.4053333333333333,-0.0898152121626655,375,0.5361160585244458,152,164,59,0.6185954521435912
overall,,negative_eigenvalue_mass_fraction,0.09742894964371529,0.09330146281440471,0.09269630313151236,0.08858390407922878,-0.004732646512202906,-0.003748561879207815,0.004732646512202906,0.003748561879207815,-0.04857536214348594,0.0035978744153848437,0.005828588729636269,0.688,0.3794218954430898,375,2.547264460698635e-13,258,117,0,3.820896691047953e-12
overall,,rank3_residual_energy_fraction,0.15445107835495991,0.1487855714724837,0.14768428771472178,0.14642057317010565,-0.006766790640238142,-0.0062503022739199,0.006766790640238142,0.0062503022739199,-0.04381187047905666,0.004279436524805996,0.009151474759864582,0.6506666666666666,0.28259919840515574,375,5.651034126309556e-09,244,131,0,4.238275594732167e-08
overall,,classical_mds_stress,0.07592900966124509,0.06974965012506301,0.07211326259446629,0.06827591617541759,-0.003815747066778823,-0.0033311294986823406,0.003815747066778823,0.0033311294986823406,-0.05025413980509736,0.0017283938138251275,0.005878916236410917,0.6053333333333333,0.1875240128108485,375,5.305445447718446e-05,227,148,0,0.00022737623347364767
overall,,adjacent_residue_distance_rmse,0.2524290629883402,0.23556552275661968,0.27927277439240433,0.2602515723508036,0.026843711404064014,0.021782494026164667,-0.026843711404064014,-0.021782494026164667,0.10634160380060527,-0.03430044863558826,-0.01979658044117325,0.3546666666666667,-0.3631501957452775,375,1.959122810054205e-08,133,242,0,1.175473686032523e-07
