length,descriptor,baseline_generated_mean,candidate_generated_mean,real_mean,baseline_abs_standardized_mean_discrepancy,candidate_abs_standardized_mean_discrepancy,mean_discrepancy_improvement,baseline_wasserstein_distance,candidate_wasserstein_distance,wasserstein_improvement,baseline_ks_statistic,candidate_ks_statistic,ks_improvement
64,adjacent_residue_distance_mean,3.715684255702155,3.593135015964508,3.8058676517299768,0.09018339602782177,0.21273263576546864,-0.12254923973764686,0.1595673249170434,0.2246180002338499,-0.0650506753168065,0.664375,0.84,-0.17562499999999992
64,contact_fraction_6A,0.0887400793650793,0.089672619047619,0.0817253164858288,0.0070147628792505,0.007947302561790201,-0.0009325396825397014,0.0097470071169502,0.011318074938018,-0.0015710678210677995,0.31625,0.334375,-0.018125000000000002
64,contact_fraction_8A,0.1277430555555555,0.1349107142857142,0.1275975473905739,0.00014550816498160035,0.007313166895140277,-0.007167658730158677,0.0033353710196319,0.0073027061809452,-0.0039673351613133,0.165625,0.1875,-0.021875000000000006
64,contact_fraction_10A,0.2013343253968254,0.2168253968253968,0.2044540809628209,0.0031197555659955023,0.012371315862575921,-0.009251560296580419,0.0067219140773146,0.0124818647111745,-0.0057599506338599,0.175,0.1843749999999999,-0.009374999999999911
64,long_range_contact_fraction,0.0188159879336349,0.0267119155354449,0.0264902884230615,0.007674300489426598,0.00022162711238339974,0.007452673377043199,0.0075834507229465,0.0046333615963868,0.0029500891265596997,0.285625,0.14125,0.14437500000000003
64,distance_mean,18.702441101074218,17.159422521591186,19.30938883125782,0.6069477301836024,2.1499663096666346,-1.5430185794830322,1.313880356875333,2.740305128097534,-1.4264247712222011,0.19125,0.255625,-0.06437499999999999
64,distance_std,9.342193627357483,8.353365335464478,9.943225041031836,0.6010314136743524,1.589859705567358,-0.9888282918930056,0.9976114858280524,2.107870916886763,-1.1102594310587106,0.161875,0.190625,-0.028749999999999998
64,radius_of_gyration,14.699479242130646,13.405730510640687,15.285574710120578,0.5860954679899315,1.8798441994798907,-1.2937487314899592,1.163791615540711,2.4099157941638523,-1.2461241786231412,0.1856249999999999,0.22125,-0.0356250000000001
64,triangle_violation_fraction,0.00310546875,0.0043017578125,0.0,0.00310546875,0.0043017578125,-0.0011962890625,0.00310546875,0.0043017578125,-0.0011962890625,0.8200000000000001,0.9,-0.07999999999999996
64,triangle_violation_mean,0.0008597733511123,0.0012500636454205,0.0,0.0008597733511123,0.0012500636454205,-0.00039029029430820005,0.0008597733511123,0.0012500636454205,-0.00039029029430820005,0.8200000000000001,0.9,-0.07999999999999996
64,negative_eigenvalue_mass_fraction,0.0486933036786702,0.0519123884950425,2.643218055546833e-07,0.04869303935686464,0.05191212417323694,-0.0032190848163723,0.0486930393691693,0.0519121241855416,-0.0032190848163723,1.0,1.0,0.0
64,rank3_residual_energy_fraction,0.0789800227661137,0.0759439026320824,2.65188116826453e-07,0.07897975757799687,0.07594363744396557,0.003036120134031303,0.0789797575829459,0.0759436374489146,0.003036120134031303,1.0,1.0,0.0
128,adjacent_residue_distance_mean,3.850812095638336,3.8711651595370977,3.807906231923601,0.04290586371473504,0.06325892761349694,-0.020353063898761903,0.0989855358322433,0.1098635031533565,-0.010877967321113194,0.465,0.5275000000000001,-0.06250000000000006
128,contact_fraction_6A,0.0383083169291338,0.0394881889763779,0.0405542568897637,0.0022459399606298974,0.0010660679133857945,0.001179872047244103,0.0031777916964924,0.0012302031138153,0.0019475885826770998,0.3225,0.1443749999999999,0.17812500000000012
128,contact_fraction_8A,0.0686712598425196,0.0674987696850393,0.0707085076279527,0.0020372477854330995,0.0032097379429133904,-0.001172490157480291,0.0031003937007874,0.003816996241947,-0.0007166025411596004,0.258125,0.349375,-0.09125
128,contact_fraction_10A,0.1157874015748031,0.112386811023622,0.121087982898622,0.005300581323818901,0.00870117187500001,-0.0034005905511811096,0.0068443539727988,0.0095508231925554,-0.0027064692197566005,0.2412499999999999,0.31,-0.06875000000000009
128,long_range_contact_fraction,0.0186791604197901,0.0140839580209895,0.0231118815592203,0.004432721139430201,0.009027923538230799,-0.004595202398800598,0.004888646585798,0.0090209895052473,-0.0041323429194493,0.286875,0.43875,-0.15187499999999998
128,distance_mean,19.852612171173096,20.83436080932617,21.455674678087234,1.6030625069141387,0.6213138687610638,0.9817486381530749,1.5458422036604462,0.8327543917569264,0.7130878119035198,0.1899999999999999,0.119375,0.0706249999999999
128,distance_std,8.58245484828949,9.469767837524412,10.135987870395184,1.553533022105693,0.6662200328707719,0.8873129892349212,1.4696457082575032,0.7897022893212068,0.6799434189362964,0.226875,0.0956249999999999,0.1312500000000001
128,radius_of_gyration,15.256726849559554,16.151886000751063,16.7715935658075,1.5148667162479459,0.6197075650564372,0.8951591511915087,1.4572221395671303,0.7823443825216083,0.674877757045522,0.1943749999999999,0.13375,0.0606249999999999
