timestep,predictor,target_mse_mean,target_mae_mean,target_correlation_mean,epsilon_mse_mean,epsilon_mae_mean,epsilon_correlation_mean,x0_reconstruction_mse_normalized_mean,x0_reconstruction_mae_normalized_mean,x0_reconstruction_mae_angstrom_mean,x0_reconstruction_rmse_angstrom_mean,negative_reconstructed_physical_fraction_mean,nonfinite_fraction_mean,snr_first,amplification_factor_first,valid_pair_count_sum,sample_count_sum,original_length_min,original_length_max,padded_length_min,padded_length_max,epsilon_prediction_min_min,epsilon_prediction_max_max,epsilon_prediction_mean_mean,epsilon_prediction_std_mean,true_epsilon_min_min,true_epsilon_max_max,x0_hat_min_min,x0_hat_max_max,x0_hat_mean_mean,x0_hat_std_mean,v_mse_mean,v_mae_mean,v_correlation_mean,epsilon_reconstruction_mse_mean,epsilon_reconstruction_mae_mean,epsilon_reconstruction_correlation_mean
0,model,0.16130965296179056,0.31202189857140183,0.9165674317628145,0.16129351989366114,0.3120062970556319,0.9165860321372747,1.6133642844806673e-05,0.0031204779297695495,0.1678037098608911,0.2151167718693614,0.0,0.0,9997.3408203125,0.01000132982421665,779185,32,37,448,40,448,-4.343596935272217,4.522948741912842,0.0049274590901404736,0.9019876401871443,-4.689265727996826,4.991457939147949,0.05248725786805153,2.0808053016662598,0.4318101732060313,0.19676543050445616,0.16130965296179056,0.31202189857140183,0.9165674317628145,0.16129351989366114,0.3120062970556319,0.9165860321372747
0,noisy_input,1.2269691228866577,0.884575629606843,0.055212010571267456,1.2268464341759682,0.8845313880592585,0.05717565873055719,0.0001227172617745964,0.008846489625284448,0.4757200013846159,0.5947746019810438,0.0,0.0,9997.3408203125,0.01000132982421665,779185,32,37,448,40,448,0.03229161351919174,2.09362530708313,0.4361350070685148,0.19900160934776068,-4.689265727996826,4.991457939147949,0.031652092933654785,2.052161931991577,0.42749752942472696,0.19506046012975276,1.2269691228866577,0.884575629606843,0.055212010571267456,1.2268464341759682,0.8845313880592585,0.05717565873055719
0,oracle,0.0,0.0,0.9999999757856131,2.5763360410259455e-15,2.29433602116913e-08,0.9999999795109034,6.099914527717448e-16,1.244478001205529e-08,6.692180516409962e-07,1.2948382028810101e-06,0.0,0.0,9997.3408203125,0.01000132982421665,779185,32,37,448,40,448,-4.689265727996826,4.991457939147949,-0.00033971356310757983,1.0006617959588766,-4.689265727996826,4.991457939147949,0.05249546840786934,2.0931646823883057,0.4318628665059805,0.19675604836083949,0.0,0.0,0.9999999757856131,2.5763360410259455e-15,2.29433602116913e-08,0.9999999795109034
0,zero,1.0013931188732386,0.798343988135457,,1.0012929681688547,0.7983040697872639,0.0571756582648959,0.00010015592965828546,0.007984102296177298,0.4293451141566038,0.5381533652544022,0.0,0.0,9997.3408203125,0.01000132982421665,779185,32,37,448,40,448,0.00031976104946807027,0.020731693133711815,0.004318736908317078,0.001970572349819122,-4.689265727996826,4.991457939147949,0.031971853226423264,2.0728936195373535,0.43181627430021763,0.19703103532083333,1.0013931188732386,0.798343988135457,,1.0012929681688547,0.7983040697872639,0.0571756582648959
1,model,0.11764440406113863,0.26555586885660887,0.9392606969922781,0.11762007349170744,0.26552840042859316,0.9392872415482998,2.4339186268207413e-05,0.0038196475943550467,0.20540155516937375,0.26412404607981443,0.0,0.0,4832.53955078125,0.014385080236204866,779185,32,37,448,40,448,-4.355446815490723,4.165294647216797,0.00500294410630886,0.9374974612146616,-4.817918300628662,4.565542697906494,0.051802340894937515,2.0942232608795166,0.4317807424813509,0.19675741228275,0.11764440406113863,0.26555586885660887,0.9392606969922781,0.11762007349170744,0.26552840042859316,0.9392872415482998
1,noisy_input,1.2152197510004044,0.8800846133381128,0.07701225287746638,1.2149683646857738,0.8799936082214117,0.07983797369524837,0.00025141437390630017,0.012658786843530834,0.680726271122694,0.8511785436421633,0.0,0.0,4832.53955078125,0.014385080236204866,779185,32,37,448,40,448,0.012248244136571884,2.128249406814575,0.43797431606799364,0.20012948475778103,-4.817918300628662,4.565542697906494,0.011900857090950012,2.067887544631958,0.4255524165928364,0.19445337681099772,1.2152197510004044,0.8800846133381128,0.07701225287746638,1.2149683646857738,0.8799936082214117,0.07983797369524837
1,oracle,0.0,0.0,0.9999999701976776,4.978032231885318e-15,4.1227078750871726e-08,0.9999999608844519,1.1852903037977767e-15,2.22741919353453e-08,1.1977946989816246e-06,1.7990315974714122e-06,0.0,0.0,4832.53955078125,0.014385080236204866,779185,32,37,448,40,448,-4.817918300628662,4.565542697906494,-0.0007043658733891789,0.9979442898184061,-4.817918300628662,4.565542697906494,0.05249546840786934,2.0931646823883057,0.43186283949762583,0.1967560371849686,0.0,0.0,0.9999999701976776,4.978032231885318e-15,4.1227078750871726e-08,0.9999999608844519
1,zero,0.9960449691861868,0.7958978060632944,,0.9958389680832624,0.7958154957741499,0.07983797311317176,0.00020606947009582655,0.011447869444964454,0.6156091820448637,0.7719052117317915,0.0,0.0,4832.53955078125,0.014385080236204866,779185,32,37,448,40,448,0.0001736933772917837,0.030180884525179863,0.006210950596141629,0.00283805303479312,-4.817918300628662,4.565542697906494,0.012074550613760948,2.0980684757232666,0.4317633677273989,0.19729143008589745,0.9960449691861868,0.7958978060632944,,0.9958389680832624,0.7958154957741499,0.07983797311317176
5,model,0.06675063539296389,0.19935396732762456,0.9661723077297211,0.0666953343898058,0.19927137065678835,0.9662292990833521,5.5295243100772495e-05,0.00573774277290795,0.30854712100699544,0.39730891212821007,0.0,0.0,1206.1676025390625,0.028793612908236756,779185,32,37,448,40,448,-4.886709690093994,4.369724273681641,0.0027501267702518817,0.965075334534049,-4.8378705978393555,4.505774021148682,0.05358155816793442,2.0888190269470215,0.4318418391048908,0.1967326735612005,0.06675063539296389,0.19935396732762456,0.9661723077297211,0.0666953343898058,0.19927137065678835,0.9662292990833521
5,noisy_input,1.1955599524080753,0.8729772791266441,0.1541823879815638,1.194569531828165,0.8726156186312437,0.15977855620440096,0.0009903835743898526,0.025125747139099985,1.3511370569467545,1.6895557381212711,8.204130949707178e-05,0.0,1206.1676025390625,0.028793612908236756,779185,32,37,448,40,448,-0.04959612339735031,2.1730237007141113,0.4439894938841462,0.20466473046690226,-4.8378705978393555,4.505774021148682,-0.04681995511054993,2.0513877868652344,0.4191369628533721,0.19320852123200893,1.1955599524080753,0.8729772791266441,0.1541823879815638,1.194569531828165,0.8726156186312437,0.15977855620440096
